# 2021oat 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021oat
RA: 195.034431
DEC: 28.170293
MWEBV: 0.009
REDSHIFT_HELIO: 0.0225
REDSHIFT_CMB: 0.0225807559568012
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59380.31
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 38
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59364.4 r_PS1 2401.0433 70.7662 19.049 0.032
OBS: 59364.41 z_PS1 1325.5619 97.671 19.694 0.08
OBS: 59366.41 z_PS1 5430.0021 135.0329 18.163 0.027
OBS: 59368.34 i_PS1 12835.122 130.0374 17.229 0.011
OBS: 59368.35 g_PS1 22222.8625 184.2121 16.633 0.009
OBS: 59371.34 r_PS1 33884.4156 187.2522 16.175 0.006
OBS: 59371.34 g_PS1 42266.8614 233.5753 15.935 0.006
OBS: 59373.33 i_PS1 23593.9144 130.3848 16.568 0.006
OBS: 59373.33 g_PS1 52191.5266 240.3509 15.706 0.005
OBS: 59375.37 r_PS1 48618.3258 223.8957 15.783 0.005
OBS: 59375.37 g_PS1 54903.4961 252.8399 15.651 0.005
OBS: 59378.39 i_PS1 25118.8643 161.9473 16.5 0.007
OBS: 59378.39 g_PS1 59593.6519 274.4389 15.562 0.005
OBS: 59380.28 i_PS1 24099.0543 199.7644 16.545 0.009
OBS: 59380.31 g_PS1 61376.2005 282.6478 15.53 0.005
OBS: 59380.34 r_PS1 54150.1919 299.245 15.666 0.006
OBS: 59387.29 i_PS1 16173.3506 268.1317 16.978 0.018
OBS: 59387.29 r_PS1 39482.0778 290.9147 16.009 0.008
OBS: 59389.295 z_PS1 15247.5477 224.6962 17.042 0.016
OBS: 59389.3 r_PS1 32181.0344 237.1186 16.231 0.008
OBS: 59391.295 i_PS1 10036.9093 120.1764 17.496 0.013
OBS: 59391.3 r_PS1 27516.9313 152.0642 16.401 0.006
OBS: 59394.27 r_PS1 24099.0543 133.1763 16.545 0.006
OBS: 59394.28 i_PS1 8855.2331 106.0276 17.632 0.013
OBS: 59396.27 z_PS1 13816.5623 165.4318 17.149 0.013
OBS: 59396.27 g_PS1 26546.0556 171.1487 16.44 0.007
OBS: 59398.29 i_PS1 9594.0063 229.7466 17.545 0.026
OBS: 59398.29 g_PS1 23746.5214 196.8422 16.561 0.009
OBS: 59399.28 i_PS1 9523.5749 122.8015 17.553 0.014
OBS: 59399.28 g_PS1 22019.1221 162.2429 16.643 0.008
OBS: 59406.28 g_PS1 11313.5786 135.4625 17.366 0.013
OBS: 59406.28 r_PS1 19588.4467 144.333 16.77 0.008
OBS: 59414.28 r_PS1 11890.4968 142.3702 17.312 0.013
OBS: 59414.28 z_PS1 8582.2271 158.0905 17.666 0.02
OBS: 59416.27 r_PS1 10784.4996 178.792 17.418 0.018
OBS: 59416.27 i_PS1 7516.2289 145.3768 17.81 0.021
OBS: 59420.26 z_PS1 5048.9376 148.8078 18.242 0.032
OBS: 59420.27 r_PS1 9602.8468 132.6682 17.544 0.015
END:
